h5_file,scenario_year,scenario_label,node,carrier,carrier_class,annual_import,annual_export,import_cost,export_revenue,net_cost
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,nitrogen,Other carriers,0.0,1010277.177305107,0.0,10102.771773051067,-10102.771773051067
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,olefins,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,propylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,steam,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,syngas,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL2,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL2,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL2,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL2,MPW,MPW,98000.00000000003,0.0,30478000.000000007,0.0,30478000.000000007
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL2,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL2,biomass,Bio feedstock,215331.77419354836,0.0,7118874.176203949,0.0,7118874.176203949
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL2,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
