Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-11-02 18:00:00;0;1000000;1000000;149.92;0.01;0.0;0.0;0.0
2022-11-02 19:00:00;0;1000000;1000000;134.96;0.01;0.0;0.0;0.0
2022-11-02 20:00:00;0;1000000;1000000;122.79;0.01;0.0;0.0;0.0
2022-11-02 21:00:00;0;1000000;1000000;111.26;0.01;0.0;0.0;0.0
2022-11-02 22:00:00;0;1000000;1000000;106.28;0.01;0.0;0.0;0.0
2022-11-02 23:00:00;0;1000000;1000000;100.61;0.01;0.0;0.0;0.0
2022-11-03 00:00:00;0;1000000;1000000;101.19;0.01;0.0;0.0;0.0
2022-11-03 01:00:00;0;1000000;1000000;96.63;0.01;0.0;0.0;0.0
2022-11-03 02:00:00;0;1000000;1000000;89.05;0.01;0.0;0.0;0.0
2022-11-03 03:00:00;0;1000000;1000000;85.09;0.01;0.0;0.0;0.0
2022-11-03 04:00:00;0;1000000;1000000;87.43;0.01;0.0;0.0;0.0
2022-11-03 05:00:00;0;1000000;1000000;88.5;0.01;0.0;0.0;0.0
2022-11-03 06:00:00;0;1000000;1000000;95.56;0.01;0.0;0.0;0.0
2022-11-03 07:00:00;0;1000000;1000000;98.11;0.01;0.0;0.0;0.0
2022-11-03 08:00:00;0;1000000;1000000;88.47;0.01;0.0;0.0;0.0
2022-11-03 09:00:00;0;1000000;1000000;83.97;0.01;0.0;0.0;0.0
2022-11-03 10:00:00;0;1000000;1000000;70.71;0.01;0.0;0.0;0.0
2022-11-03 11:00:00;0;1000000;1000000;60.78;0.01;0.0;0.0;0.0
2022-11-03 12:00:00;0;1000000;1000000;52.63;0.01;0.0;0.0;0.0
2022-11-03 13:00:00;0;1000000;1000000;61.08;0.01;0.0;0.0;0.0
2022-11-03 14:00:00;0;1000000;1000000;84.37;0.01;0.0;0.0;0.0
2022-11-03 15:00:00;0;1000000;1000000;100.95;0.01;0.0;0.0;0.0
2022-11-03 16:00:00;0;1000000;1000000;115.16;0.01;0.0;0.0;0.0
2022-11-03 17:00:00;0;1000000;1000000;127.91;0.01;0.0;0.0;0.0
2022-11-03 18:00:00;0;1000000;1000000;126.09;0.01;0.0;0.0;0.0
2022-11-03 19:00:00;0;1000000;1000000;120.72;0.01;0.0;0.0;0.0
2022-11-03 20:00:00;0;1000000;1000000;110.8;0.01;0.0;0.0;0.0
2022-11-03 21:00:00;0;1000000;1000000;102.0;0.01;0.0;0.0;0.0
2022-11-03 22:00:00;0;1000000;1000000;100.69;0.01;0.0;0.0;0.0
2022-11-03 23:00:00;0;1000000;1000000;94.53;0.01;0.0;0.0;0.0
2022-11-04 00:00:00;0;1000000;1000000;92.04;0.01;0.0;0.0;0.0
2022-11-04 01:00:00;0;1000000;1000000;89.96;0.01;0.0;0.0;0.0
2022-11-04 02:00:00;0;1000000;1000000;90.07;0.01;0.0;0.0;0.0
2022-11-04 03:00:00;0;1000000;1000000;89.86;0.01;0.0;0.0;0.0
2022-11-04 04:00:00;0;1000000;1000000;90.8;0.01;0.0;0.0;0.0
2022-11-04 05:00:00;0;1000000;1000000;98.52;0.01;0.0;0.0;0.0
2022-11-04 06:00:00;0;1000000;1000000;124.89;0.01;0.0;0.0;0.0
2022-11-04 07:00:00;0;1000000;1000000;144.91;0.01;0.0;0.0;0.0
2022-11-04 08:00:00;0;1000000;1000000;139.18;0.01;0.0;0.0;0.0
2022-11-04 09:00:00;0;1000000;1000000;120.63;0.01;0.0;0.0;0.0
2022-11-04 10:00:00;0;1000000;1000000;100.0;0.01;0.0;0.0;0.0
2022-11-04 11:00:00;0;1000000;1000000;97.12;0.01;0.0;0.0;0.0
2022-11-04 12:00:00;0;1000000;1000000;95.16;0.01;0.0;0.0;0.0
2022-11-04 13:00:00;0;1000000;1000000;98.47;0.01;0.0;0.0;0.0
2022-11-04 14:00:00;0;1000000;1000000;103.17;0.01;0.0;0.0;0.0
2022-11-04 15:00:00;0;1000000;1000000;130.4;0.01;0.0;0.0;0.0
2022-11-04 16:00:00;0;1000000;1000000;181.47;0.01;0.0;0.0;0.0
2022-11-04 17:00:00;0;1000000;1000000;290.21;0.01;0.0;0.0;0.0
2022-11-04 18:00:00;0;1000000;1000000;241.04;0.01;0.0;0.0;0.0
2022-11-04 19:00:00;0;1000000;1000000;162.09;0.01;0.0;0.0;0.0
2022-11-04 20:00:00;0;1000000;1000000;123.0;0.01;0.0;0.0;0.0
2022-11-04 21:00:00;0;1000000;1000000;112.27;0.01;0.0;0.0;0.0
2022-11-04 22:00:00;0;1000000;1000000;107.98;0.01;0.0;0.0;0.0
2022-11-04 23:00:00;0;1000000;1000000;97.6;0.01;0.0;0.0;0.0
2022-11-05 00:00:00;0;1000000;1000000;101.77;0.01;0.0;0.0;0.0
2022-11-05 01:00:00;0;1000000;1000000;94.0;0.01;0.0;0.0;0.0
2022-11-05 02:00:00;0;1000000;1000000;91.2;0.01;0.0;0.0;0.0
2022-11-05 03:00:00;0;1000000;1000000;93.0;0.01;0.0;0.0;0.0
2022-11-05 04:00:00;0;1000000;1000000;95.39;0.01;0.0;0.0;0.0
